lu_id	country_region	province_state	date	confirmed	recovered	deaths	tested	tested_reported	tested_announced	tested_extrapolated	tested_is_extrapolated	lag_21_confirmed	probably_recovered	active	lag_1_confirmed	lag_1_recovered	lag_1_deaths	lag_1_tested	lag_1_active	lag_1_tested_is_extrapolated	lag_7_confirmed	lag_7_recovered	lag_7_deaths	lag_7_tested	lag_7_active	lag_7_tested_is_extrapolated
224	Ireland		2020-07-13	25638	23364	1746	516958.0	516958.0	516958.0	0.0	0	25383.0	273.0	255.0	25628.0	23364.0	1746.0	509295.0	249.0	0.0	25531.0	23364.0	1741.0	467852.0	210.0	0.0
225	Israel		2020-07-13	40632	19395	365	1275255.0	0.0	1106807.0	168448.0	1	21082.0	1322.0	19550.0	38670.0	19008.0	362.0	1254199.0	17892.0	1.0	30749.0	18056.0	334.0	1127863.0	11512.0	1.0
226	Italy		2020-07-13	243230	195106	34967	5962744.0	5962744.0	5962744.0	0.0	0	238720.0	8647.0	4510.0	243061.0	194928.0	34954.0	5938811.0	4562.0	0.0	241819.0	192241.0	34869.0	5660454.0	4529.0	0.0
248	Jamaica		2020-07-13	759	628	10	0.0	0.0	0.0	0.0	1	665.0	27.0	94.0	758.0	620.0	10.0	0.0	99.0	1.0	737.0	591.0	10.0	0.0	116.0	1.0
249	Japan		2020-07-13	22125	18058	984	562105.0	562105.0	562105.0	0.0	0	17820.0	0.0	3083.0	21841.0	17845.0	983.0	558622.0	3013.0	0.0	19848.0	17007.0	978.0	499898.0	1863.0	0.0
299	Jordan		2020-07-13	1183	1008	10	0.0	0.0	0.0	0.0	1	1042.0	24.0	141.0	1179.0	997.0	10.0	0.0	146.0	1.0	1167.0	957.0	10.0	0.0	188.0	1.0
300	Kazakhstan		2020-07-13	61755	35911	375	1749393.0	0.0	1694586.0	54807.0	1	18231.0	0.0	25469.0	58253.0	33814.0	375.0	1731124.0	24064.0	1.0	49683.0	15860.0	264.0	1630669.0	33559.0	0.0
301	Kenya		2020-07-13	10294	2946	197	225403.0	0.0	206584.0	18819.0	1	4797.0	1654.0	5497.0	10105.0	2881.0	185.0	219130.0	5367.0	1.0	8067.0	2414.0	164.0	191394.0	4340.0	0.0
302	Korea, South		2020-07-13	13512	12282	289	1386467.0	1386467.0	1386467.0	0.0	0	12484.0	0.0	941.0	13479.0	12204.0	289.0	1379194.0	986.0	0.0	13181.0	11914.0	285.0	1310147.0	982.0	0.0
304	Kuwait		2020-07-13	55508	45356	393	437422.0	437422.0	437422.0	0.0	0	40291.0	0.0	9759.0	54894.0	44610.0	390.0	433336.0	9894.0	0.0	50644.0	41001.0	373.0	409335.0	9270.0	0.0
305	Kyrgyzstan		2020-07-13	11444	3538	149	0.0	0.0	0.0	0.0	1	3356.0	0.0	7757.0	11117.0	3460.0	147.0	0.0	7510.0	1.0	8141.0	2916.0	99.0	0.0	5126.0	1.0
306	Laos		2020-07-13	19	19	0	0.0	0.0	0.0	0.0	1	19.0	0.0	0.0	19.0	19.0	0.0	0.0	0.0	1.0	19.0	19.0	0.0	0.0	0.0	1.0
307	Latvia		2020-07-13	1174	1019	31	169943.0	169943.0	169943.0	0.0	0	1111.0	61.0	63.0	1173.0	1019.0	30.0	168947.0	62.0	0.0	1127.0	1000.0	30.0	158518.0	30.0	0.0
308	Lebanon		2020-07-13	2419	1423	36	0.0	0.0	0.0	0.0	1	1603.0	144.0	816.0	2334.0	1420.0	36.0	0.0	747.0	1.0	1885.0	1311.0	36.0	0.0	421.0	1.0
309	Lesotho		2020-07-13	245	33	3	0.0	0.0	0.0	0.0	1	12.0	0.0	209.0	233.0	32.0	2.0	0.0	199.0	1.0	91.0	11.0	0.0	0.0	80.0	1.0
310	Liberia		2020-07-13	1024	439	51	0.0	0.0	0.0	0.0	1	650.0	160.0	374.0	1010.0	423.0	51.0	0.0	384.0	1.0	891.0	377.0	39.0	0.0	393.0	1.0
311	Libya		2020-07-13	1512	367	40	0.0	0.0	0.0	0.0	1	595.0	188.0	917.0	1433.0	341.0	39.0	0.0	862.0	1.0	1117.0	269.0	34.0	0.0	650.0	1.0
312	Liechtenstein		2020-07-13	84	81	1	0.0	0.0	0.0	0.0	1	83.0	1.0	1.0	84.0	81.0	1.0	0.0	2.0	1.0	84.0	81.0	1.0	0.0	2.0	1.0
313	Lithuania		2020-07-13	1874	1571	79	461666.0	461666.0	461666.0	0.0	0	1801.0	151.0	73.0	1869.0	1571.0	79.0	459722.0	71.0	1.0	1841.0	1547.0	79.0	442475.0	68.0	1.0
314	Luxembourg		2020-07-13	4956	4183	111	281431.0	281431.0	281431.0	0.0	0	4121.0	0.0	662.0	4925.0	4086.0	111.0	278388.0	728.0	0.0	4542.0	4016.0	110.0	226761.0	416.0	0.0
315	Madagascar		2020-07-13	5080	2494	37	0.0	0.0	0.0	0.0	1	1640.0	0.0	2549.0	4867.0	2378.0	35.0	0.0	2454.0	1.0	3250.0	1135.0	33.0	0.0	1960.0	1.0
316	Malawi		2020-07-13	2430	747	39	0.0	0.0	0.0	0.0	1	749.0	0.0	1644.0	2364.0	557.0	38.0	0.0	1634.0	1.0	1742.0	317.0	19.0	0.0	1187.0	1.0
317	Malaysia		2020-07-13	8725	8520	122	850423.0	850423.0	850423.0	0.0	0	8587.0	0.0	83.0	8718.0	8519.0	122.0	847510.0	77.0	0.0	8668.0	8476.0	121.0	810057.0	71.0	0.0
318	Maldives		2020-07-13	2762	2290	13	62767.0	62767.0	62767.0	0.0	0	2217.0	0.0	459.0	2731.0	2284.0	13.0	61819.0	434.0	0.0	2491.0	2113.0	12.0	56916.0	366.0	0.0
319	Mali		2020-07-13	2412	1730	121	0.0	0.0	0.0	0.0	1	1961.0	110.0	451.0	2411.0	1694.0	121.0	0.0	478.0	1.0	2331.0	1547.0	119.0	0.0	471.0	1.0
320	Malta		2020-07-13	674	660	9	108749.0	0.0	104099.0	4650.0	1	665.0	0.0	5.0	674.0	660.0	9.0	107974.0	5.0	1.0	672.0	652.0	9.0	103324.0	11.0	0.0
321	Mauritania		2020-07-13	5446	2501	147	0.0	0.0	0.0	0.0	1	3121.0	473.0	2325.0	5355.0	2363.0	147.0	0.0	2371.0	1.0	4948.0	1896.0	133.0	0.0	2919.0	1.0
322	Mauritius		2020-07-13	342	330	10	0.0	0.0	0.0	0.0	1	340.0	0.0	2.0	342.0	330.0	10.0	0.0	2.0	1.0	342.0	330.0	10.0	0.0	2.0	1.0
323	Mexico		2020-07-13	304435	240101	35491	687319.0	0.0	622450.0	64869.0	1	185122.0	0.0	28843.0	299750.0	234905.0	35006.0	678052.0	29839.0	1.0	261750.0	204826.0	31119.0	622450.0	25805.0	0.0
357	Moldova		2020-07-13	19439	12793	649	0.0	0.0	0.0	0.0	1	14363.0	921.0	5076.0	19382.0	12667.0	642.0	0.0	5182.0	1.0	17906.0	11047.0	592.0	0.0	6027.0	1.0
358	Monaco		2020-07-13	109	97	4	0.0	0.0	0.0	0.0	1	101.0	0.0	8.0	109.0	97.0	4.0	0.0	8.0	1.0	108.0	95.0	4.0	0.0	9.0	1.0
359	Mongolia		2020-07-13	243	204	0	0.0	0.0	0.0	0.0	1	215.0	11.0	28.0	230.0	203.0	0.0	0.0	17.0	1.0	225.0	194.0	0.0	0.0	28.0	1.0
360	Montenegro		2020-07-13	1287	330	24	0.0	0.0	0.0	0.0	1	367.0	13.0	920.0	1221.0	325.0	23.0	0.0	859.0	1.0	841.0	315.0	14.0	0.0	512.0	1.0
361	Morocco		2020-07-13	15936	12934	255	892658.0	0.0	878626.0	14032.0	1	10172.0	0.0	2747.0	15745.0	12283.0	250.0	878626.0	3212.0	0.0	14379.0	10173.0	237.0	783639.0	3969.0	0.0
362	Mozambique		2020-07-13	1219	369	9	0.0	0.0	0.0	0.0	1	737.0	359.0	482.0	1157.0	364.0	9.0	0.0	424.0	1.0	1012.0	277.0	8.0	0.0	403.0	1.0
364	Namibia		2020-07-13	861	28	1	0.0	0.0	0.0	0.0	1	63.0	34.0	798.0	785.0	26.0	1.0	0.0	730.0	1.0	485.0	25.0	0.0	0.0	453.0	1.0
